SORT,VarID,VarTitle,VarDefinition,VarCategory,VarType,Source,UserNotes,VarID_OrignalCode,VarID_Code,Count,OriginalCode_1,OriginalCode_2,OriginalCode_3,OriginalCode_4,OriginalCode_5,CodeDescription,DoubleCoding_notes,ShortName
1,V1,Overall pattern of interaction,"The manner in which speaking time is divided between two people in a conversation, considering the entire recorded conversation as a whole. The two speakers are referred to as A and B.",Speaker Role/Relationship,Categorical,Lomax & Markel (1971-72); Wood (2021),,1_NA,1_NA,8,NA,,,,,Missing data,,Missing data
2,,,,,,,,1_1,1_2,27,1,,,,,Only speaker A is heard.,,A
3,,,,,,,,1_2,1_4,2,2,,,,,Predominance of A with B's contribution confined to some interjections.,,Ab
4,,,,,,,,1_3,1_8,21,3,,,,,A's stretches are far longer and far more frequent than B's.,,A >> B
5,,,,,,,,1_4,1_16,42,4,,,,,A's stretches are longer and more frequent than B's.,,A > B
6,,,,,,,,1_5,1_32,71,5,,,,,A and B more or less share the total air time.  It is hard to tell which is dominant.,,A = B
7,,,,,,,,1_5_4,1_48,7,5,4,,,,The following two points are double coded: 1) A's stretches are longer and more frequent than B's; and 2) A and B more or less share the total air time.,,A > B and A = B
8,V2,Pattern of interaction in stretches,"The predominant pattern of turn-taking in stretches of conversation, regardless of which speaker assumes the leading role in each individual stretch.",Speaker Role/Relationship,Categorical,Lomax & Markel (1971-72); Wood (2021),,2_NA,2_NA,32,NA,,,,,Missing data,,Missing data
9,,,,,,,,2_1,2_2,41,1,,,,,"One speaker's contributions are longer, more frequent, while the other speaker's are shorter, less frequent.",,"A longer, more frequent / B shorter, less frequent"
10,,,,,,,,2_2,2_4,24,2,,,,,"One speaker's contributions are longer, while the other speaker's are shorter and frequent.",,A longer / B short and frequent
11,,,,,,,,2_2_1,2_6,8,2,1,,,,"The following two points are double coded: 1) One speaker's contributions are longer, more frequent, while the other speaker's are shorter, less frequent; and 2) One speaker's contributions are longer, while the other speaker's are shorter and frequent.",,"A longer / B short and frequent and A longer, more frequent / B shorter, less frequent"
12,,,,,,,,2_3,2_8,3,3,,,,,"Rapid exchanges of less than 2 seconds in duration, where one speaker speaks more than the other.",,A > B rapid
13,,,,,,,,2_3_1,2_10,2,3,1,,,,"The following two points are double coded: 1) Rapid exchanges of less than 2 seconds in duration, where one speaker speaks more than the other; and 2) One speaker's contributions are longer, more frequent, while the other speaker's are shorter, less frequent.",,"A > B rapid and A longer, more frequent / B shorter, less frequent"
14,,,,,,,,2_3_2,2_12,1,3,2,,,,"The following two points are double coded: 1) Rapid exchanges of less than 2 seconds in duration, where one speaker speaks more than the other; and 2) One speaker's contributions are longer, while the other speaker's are shorter and frequent.",,A > B rapid and A longer / B short and frequent
15,,,,,,,,2_4,2_16,15,4,,,,,Both speakers speak the same amount.,,A = B moderate
16,,,,,,,,2_4_1,2_18,9,4,1,,,,"The following two points are double coded: 1) Both speakers speak the same amount; and 2) One speaker's contributions are longer, more frequent, while the other speaker's are shorter, less frequent.",,"A = B moderate and A longer, more frequent / B shorter, less frequent"
17,,,,,,,,2_4_2,2_20,33,4,2,,,,"The following two points are double coded: 1) Both speakers speak the same amount; and 2) One speaker's contributions are longer, while the other speaker's are shorter and frequent.",,A = B moderate and A longer / B short and frequent
